project_ID,longitude,latitude,total_c_to_2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
8722612310060,35.504015,-16.025439,3525126.32,32,3.0,545.293273926,2.0
8722612410555,35.504015,-16.025439, $-   ,33,3.0,545.293273926,2.0
8722612110283,35.516667,-14.966667,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.516667,-15.166667,2741764.92,14,3.0,647.761962891,1.0
8722612310060,35.516667,-15.166667,3525126.32,32,3.0,647.761962891,1.0
8722612110283,35.533333,-14.866667,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.573667,-14.945831,2741764.92,14,7.0,647.761962891,1.0
8722612310060,35.573667,-14.945831,3525126.32,32,7.0,647.761962891,1.0
8722612510514,35.573667,-14.945831,2500000,11,7.0,647.761962891,1.0
8722612610455,35.573667,-14.945831,25000000,18,7.0,647.761962891,1.0
8722612610659,35.573667,-14.945831, $-   ,16,7.0,647.761962891,1.0
8722612610717,35.573667,-14.945831,4640356,12,7.0,647.761962891,1.0
8722612610717,35.573667,-14.945831,4640356,12,7.0,647.761962891,1.0
872261299890,35.57367,-14.94583,22235530.6,28,7.0,647.761962891,1.0
8722612110283,35.616667,-14.75,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.616667,-14.666667,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.65,-14.766667,2741764.92,14,7.0,647.761962891,1.0
872261289839,35.65067,-15.80635,322189.38,31,5.0,647.761962891,2.0
872261299875,35.650673,-15.806351,13190889.32,4,5.0,647.761962891,2.0
8722612310060,35.650673,-15.806351,3525126.32,32,5.0,647.761962891,2.0
8722612510058,35.6666667,-15.6666667,16213487,17,5.0,647.761962891,1.0
8722612510084,35.6666667,-15.6666667,4665000,8,5.0,647.761962891,1.0
8722612510514,35.6666667,-15.6666667,2500000,11,5.0,647.761962891,1.0
8722612610717,35.6666667,-15.6666667,4640356,12,5.0,647.761962891,1.0
8722612310060,35.666667,-15.666667,3525126.32,32,5.0,647.761962891,1.0
8722612510058,35.666667,-15.666667,16213487,17,5.0,647.761962891,1.0
8722612510201,35.666667,-15.666667,300000,2,5.0,647.761962891,1.0
8722612610455,35.666667,-15.666667,25000000,18,5.0,647.761962891,1.0
8722612610717,35.666667,-15.666667,4640356,12,5.0,647.761962891,1.0
872261299890,35.66667,-15.66667,22235530.6,28,5.0,647.761962891,1.0
8722612110283,35.683333,-14.966667,2741764.92,14,7.0,647.761962891,1.0
872261299875,35.687178,-15.71875,13190889.32,4,5.0,647.761962891,1.0
872261299875,35.750751,-15.859192,13190889.32,4,0.0,647.761962891,1.0
872261299875,35.820437,-15.551433,13190889.32,4,5.0,647.761962891,1.0
872261289839,34.34,-13.24,322189.38,31,0.0,647.762084961,1.0
872261299890,34.34,-13.24,22235530.6,28,0.0,647.762084961,1.0
